sampleID	FeT_darwin_clim
S0528	2.1270174e-5
S0529	6.80081e-5
S0530	1.6777925e-4
S0531	2.1933645e-5
S0532	5.7327343e-5
S0533	1.637193e-4
S0534	2.105235e-5
S0535	6.453919e-5
S0536	1.5861522e-4
S0537	2.0624457e-5
S0538	6.377031e-5
S0539	1.517394e-4
S0540	2.022514e-5
S0541	5.757239e-5
S0542	1.4232229e-4
S0543	1.7935665e-5
S0544	4.50675e-5
S0545	1.3783244e-4
S0546	1.8048306e-5
S0547	6.4219064e-5
S0548	1.4135397e-4
S0549	2.0792639e-5
S0550	5.974835e-5
S0551	1.4631207e-4
S0173	6.71248e-4
S0174	6.71248e-4
S0175	2.1262582e-5
S0558	2.1262582e-5
S0559	4.8213646e-5
S0560	1.5701662e-4
S0552	2.017439e-5
S0553	4.9029364e-5
S0554	1.6741584e-4
S0555	2.0702737e-5
S0556	4.3348184e-5
S0557	1.7074058e-4
S0561	2.1270174e-5
S0562	4.362593e-5
S0563	1.6777925e-4
S0501	2.1933645e-5
S0502	3.999179e-5
S0503	1.637193e-4
S0564	2.105235e-5
S0565	5.6721026e-5
S0566	1.5861522e-4
S0504	2.0503108e-5
S0505	6.377031e-5
S0506	1.517394e-4
S0507	2.022514e-5
S0508	5.757239e-5
S0509	1.4232229e-4
S0510	1.7935665e-5
S0511	6.359945e-5
S0512	1.3783244e-4
S0513	2.0792639e-5
S0514	4.8041424e-5
S0515	1.4631207e-4
S0516	2.1886857e-5
S0517	5.990353e-5
S0518	1.4949882e-4
S0519	2.1262582e-5
S0520	6.0263457e-5
S0521	1.5701662e-4
S0522	2.017439e-5
S0523	4.9029364e-5
S0524	1.6741584e-4
S0525	2.0702737e-5
S0526	5.0079314e-5
S0527	1.7074058e-4
S0627	2.0792639e-5
S0628	4.9029364e-5
S0582	9.974488e-4
S0583	9.969359e-4
S0584	9.807382e-4
S0585	9.801523e-4
S0586	9.800503e-4
S0587	9.806975e-4
S0567	9.7157125e-4
S0568	9.647014e-4
S0569	9.766859e-4
S0606	0.0010074581
S0607	9.5824356e-4
S0608	9.790421e-4
S0588	0.0010485409
S0589	9.459706e-4
S0590	9.831947e-4
S0591	0.0010495622
S0592	9.4495894e-4
S0593	9.6648413e-4
S0570	0.0010490916
S0571	9.5751457e-4
S0572	9.7631244e-4
S0609	0.0010408376
S0610	9.843272e-4
S0611	9.7460125e-4
S0612	0.0010275204
S0613	9.891914e-4
S0614	9.7332627e-4
S0573	0.0010117644
S0574	0.0010115033
S0575	9.7372656e-4
S0624	9.974488e-4
S0625	9.969359e-4
S0626	9.807382e-4
S0576	9.801523e-4
S0577	9.79447e-4
S0578	9.806975e-4
S0594	9.7157125e-4
S0595	9.635841e-4
S0596	9.766859e-4
S0615	0.0010074581
S0616	9.5529936e-4
S0617	9.790421e-4
S0618	0.0010441872
S0619	9.4981305e-4
S0620	9.819918e-4
S0621	0.0010495622
S0622	9.400365e-4
S0623	9.815722e-4
S0597	0.0010505923
S0598	9.434901e-4
S0599	9.785868e-4
S0600	0.0010490916
S0601	9.4319653e-4
S0602	9.7631244e-4
S0603	0.0010408376
S0604	9.843272e-4
S0605	9.7460125e-4
S0579	0.0010275204
S0580	9.891914e-4
S0581	9.7332627e-4
S0629	0.0010485409
S0630	9.4576715e-4
