sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0173	timeseries	HOT	152	NA	NA	2003-10-03	NA	22.75	-158	1000	north pacific	A	mesopelagic
S0174	timeseries	HOT	152	NA	NA	2003-10-03	NA	22.75	-158	600	north pacific	A	mesopelagic
S0175	timeseries	HOT	152	NA	NA	2003-10-03	NA	22.75	-158	5	north pacific	A	epipelagic
S0501	timeseries	HOT	156	NA	14	2004-02-24	NA	22.75	-158	5	north pacific	A	epipelagic
S0502	timeseries	HOT	156	NA	8	2004-02-24	NA	22.75	-158	100	north pacific	A	epipelagic
S0503	timeseries	HOT	156	NA	4	2004-02-24	NA	22.75	-158	175	north pacific	A	epipelagic
S0504	timeseries	HOT	158	NA	13	2004-04-20	NA	22.75	-158	25	north pacific	A	epipelagic
S0505	timeseries	HOT	158	NA	6	2004-04-20	NA	22.75	-158	125	north pacific	A	epipelagic
S0506	timeseries	HOT	158	NA	4	2004-04-20	NA	22.75	-158	175	north pacific	A	epipelagic
S0507	timeseries	HOT	159	NA	14	2004-05-18	NA	22.75	-158	5	north pacific	A	epipelagic
S0508	timeseries	HOT	159	NA	7	2004-05-18	NA	22.75	-158	115	north pacific	A	epipelagic
S0509	timeseries	HOT	159	NA	4	2004-05-18	NA	22.75	-158	175	north pacific	A	epipelagic
S0510	timeseries	HOT	160	NA	14	2004-06-15	NA	22.75	-158	5	north pacific	A	epipelagic
S0511	timeseries	HOT	160	NA	6	2004-06-15	NA	22.75	-158	125	north pacific	A	epipelagic
S0512	timeseries	HOT	160	NA	4	2004-06-15	NA	22.75	-158	175	north pacific	A	epipelagic
S0513	timeseries	HOT	162	NA	14	2004-08-15	NA	22.75	-158	5	north pacific	A	epipelagic
S0514	timeseries	HOT	162	NA	8	2004-08-15	NA	22.75	-158	100	north pacific	A	epipelagic
S0515	timeseries	HOT	162	NA	4	2004-08-15	NA	22.75	-158	175	north pacific	A	epipelagic
S0516	timeseries	HOT	163	NA	14	2004-09-28	NA	22.75	-158	5	north pacific	A	epipelagic
S0517	timeseries	HOT	163	NA	7	2004-09-28	NA	22.75	-158	115	north pacific	A	epipelagic
S0518	timeseries	HOT	163	NA	4	2004-09-28	NA	22.75	-158	175	north pacific	A	epipelagic
S0519	timeseries	HOT	164	NA	17	2004-10-10	NA	22.75	-158	5	north pacific	A	epipelagic
S0520	timeseries	HOT	164	NA	8	2004-10-10	NA	22.75	-158	115	north pacific	A	epipelagic
S0521	timeseries	HOT	164	NA	4	2004-10-10	NA	22.75	-158	175	north pacific	A	epipelagic
S0522	timeseries	HOT	165	NA	19	2004-11-10	NA	22.75	-158	5	north pacific	A	epipelagic
S0523	timeseries	HOT	165	NA	9	2004-11-10	NA	22.75	-158	100	north pacific	A	epipelagic
S0524	timeseries	HOT	165	NA	4	2004-11-10	NA	22.75	-158	175	north pacific	A	epipelagic
S0525	timeseries	HOT	166	NA	14	2004-12-14	NA	22.75	-158	5	north pacific	A	epipelagic
S0526	timeseries	HOT	166	NA	8	2004-12-14	NA	22.75	-158	100	north pacific	A	epipelagic
S0527	timeseries	HOT	166	NA	4	2004-12-14	NA	22.75	-158	175	north pacific	A	epipelagic
S0528	timeseries	HOT	144	NA	14	2003-01-17	NA	22.75	-158	5	north pacific	A	epipelagic
S0529	timeseries	HOT	144	NA	6	2003-01-17	NA	22.75	-158	125	north pacific	A	epipelagic
S0530	timeseries	HOT	144	NA	4	2003-01-17	NA	22.75	-158	175	north pacific	A	epipelagic
