sampleID	station_num_BODC	lat	lon	aluminum_dissolved_nmol.kg	cobalt_dissolved_pmol.kg	dissolved.inorganic.carbon_dissolved_umol.kg	dissolved.organic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	molybdenum_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0001	1608554	49.7225	-42.4467	2.448781	NA	2068.5	61.951221	0.06	16.59	0.868293	NA	3.24	0.4	0.08	284.6	0.14	10.1	34.709	1	10.512	0.14
S0002	1608554	49.7225	-42.4467	1.921951	NA	2099.399902	55.804878	0.07	18.459999	0.780488	NA	3.01	3.3	0.19	252.7	0.32	50.4	35.196999	1.2	11.374	0.07
S0003	1608554	49.7225	-42.4467	2.643902	NA	2110	NA	0.12	19.43	0.809756	NA	3.21	4.7	0.28	249.4	0.41	75.7	35.296001	1.6	11.424	0.11
S0004	1608554	49.7225	-42.4467	8.27317	NA	2127.300049	52.975609	0.25	20.280001	0.673171	NA	3.29	9	0.2	239.1	0.61	101.9	35.249001	4	10.667	0.27
S0005	1608554	49.7225	-42.4467	11.092683	NA	2139.600098	NA	0.45	20.51	0.692683	NA	3.28	11.8	0.06	228	0.77	153.4	35.140999	5.4	9.877	0.4
S0006	1608554	49.7225	-42.4467	10.321951	NA	2165.699951	NA	0.63	22.360001	0.478049	NA	3.81	16.9	0.05	175.5	1.08	200.8	35.101002	8.6	9.399	0.78
S0008	1608603	46.312	-39.658	7.219512	NA	2078.300049	58.243904	0.08	19.6	0.604878	NA	2.65	0.9	0.08	259.9	0.03	10.1	35.938	0	15.31	0.06
S0009	1608603	46.312	-39.658	14.829268	NA	2110.600098	58.536587	0.06	21.32	0.712195	NA	2.71	4.6	0.18	225.5	0.26	49.4	36.056	1.5	15.043	0.07
S0010	1608603	46.312	-39.658	16.341463	NA	2114	NA	0.07	21.530001	0.731707	NA	2.74	5.1	0.22	222.5	0.31	73.6	36.030998	1.9	14.888	0.08
S0011	1608603	46.312	-39.658	17.200001	NA	2114.5	57.170731	0.16	21.85	0.731707	NA	2.85	5.3	0.31	222.7	0.32	100.9	36.030998	2.2	14.859	0.13
S0012	1608603	46.312	-39.658	21.219513	NA	2124.100098	NA	0.22	21.969999	0.62439	NA	2.74	7.4	0.06	212.9	0.44	154.3	35.942001	2.9	14.426	0.17
S0013	1608603	46.312	-39.658	20.312195	NA	2125.899902	NA	0.21	22.200001	0.604878	NA	2.74	8	0.03	210.8	0.47	199.7	35.902	3.1	14.188	0.2
S0015	1608687	36.2067	-53.2681	14.985366	NA	2082.5	56.585365	0.06	20.57	0.731707	NA	2.24	0.1	0.03	223.1	0.02	8.1	36.542	0.3	18.574	0.06
S0016	1608687	36.2067	-53.2681	15.404878	NA	2090.699951	56.487804	0.04	20.879999	0.741463	NA	2.24	0.7	0.16	214.2	0.03	50.4	36.537998	0.4	18.327	0.01
S0017	1608687	36.2067	-53.2681	15.414634	NA	2099.899902	NA	0.06	21.889999	0.721951	NA	2.29	2.2	0.28	205.2	0.09	74.6	36.537998	0.8	18.069	0.03
