sampleID	station_num_BODC	lat	lon	aluminum_dissolved_nmol.kg	aluminum_total.particulate_nmol.kg	cobalt_dissolved_pmol.kg	copper_dissolved_nmol.kg	dissolved.organic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	iron_soluble_nmol.kg	iron_total.particulate_nmol.kg	ironII_dissolved_nmol.kg	L1.copper.bind_dissolved_logK	L1.copper.conc_dissolved_nmol.kg	L1.iron.bind_dissolved_logK	L1.iron.conc_dissolved_nmol.kg	L2.iron.bind_dissolved_nmol.kg	L2.iron.logk_dissolved_logK	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0049	1646368	35.41617	-66.54077	36.146343	NA	50.731709	0.956098	NA	0.440976	0.1	NA	NA	13.9	1.258537	12.6	1.678049	0.409756	11.77	15.75	2.117073	NA	0.02839	0.006634	210.4	0.009463	31.5	36.352001	0.39	23.075	0.248293
S0050	1646368	35.41617	-66.54077	35.55122	NA	55.609756	0.941463	NA	0.42	0.103	NA	NA	13.15	2.507317	12.53	1.678049	0.741463	11.66	21.1	2.023902	NA	0.040683	0.016976	210.4	0.011805	68.5	36.351002	0.39	23.074	0.132439
S0051	1646368	35.41617	-66.54077	32.458538	0.998244	62.439026	0.756098	NA	0.359024	0.1	0.381561	NA	13.3	2.292683	12.7	1.287805	0.614634	11.97	30.85	0.482927	NA	0.947317	0.039122	189.1	0.147512	111.9	36.740002	0.68	21.144	0.55
S0052	1646368	35.41617	-66.54077	31.853659	1.279317	56.585365	0.765854	NA	0.354146	0.123	0.421073	NA	NA	NA	12.58	1.395122	0.682927	11.61	18.700001	0.437073	NA	0.961561	0.024976	193.9	0.144488	136.8	36.719002	0.58	20.021	0.278415
S0053	1646368	35.41617	-66.54077	33.931705	0.885171	57.560974	0.921951	NA	0.389756	0.12	0.381366	NA	NA	NA	12.77	1.209756	0.17561	11.9	18.799999	0.281951	NA	0.970439	0.016488	192.7	0.30575600000000003	187.7	36.615002	0.88	18.68	0.50939
S0054	1646368	35.41617	-66.54077	33.014633	0.617073	50.731709	0.790244	NA	0.32439	0.121	0.277756	NA	NA	NA	12.56	0.839024	0.439024	11.59	20.5	0.28	NA	0.973171	0.014049	201.4	0.243805	239.2	36.594002	0.88	18.322	0.323902
S0055	1646368	35.41617	-66.54077	36.409756	NA	50.731709	0.77561	NA	0.339024	0.145	NA	NA	13.4	1.882927	12.36	1.219512	0	0	18.450001	0.303902	NA	3.42	0	209	0.14	293.8	36.59	0.97	18.133	0.459512
S0057	1701465	24.1497	-40.21786	27.424391	NA	12.682927	0.790244	NA	0.671707	0.283	NA	0.419512	13.35	3.912195	12.35	1.64878	1.619512	11.24	22.200001	1.922439	NA	0.079317	0	205.9	0.010732	39.2	37.629002	0.1	25.242	0.04122
S0058	1701465	24.1497	-40.21786	30.44878	3.906342	16.585365	0.868293	NA	0.61122	0.17	0.594146	0.263415	NA	NA	12.39	1.82439	1.590244	11.08	24.549999	1.938049	NA	0.018829	0	205.7	0.008585	65.6	37.631001	0.1	25.225	0.063415
S0059	1701465	24.1497	-40.21786	29.902439	0.663512	16.585365	0.863415	NA	0.639024	0.166	0.328	0.312195	NA	NA	12.25	1.873171	1.414634	11.12	29.450001	1.846829	NA	0.02	0	205.7	0.00878	75.6	37.627998	0.1	25.193	0.144634
