sampleID	station_num_BODC	lat	lon	copper_dissolved_nmol.kg	iron_dissolved_nmol.kg	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0252	1877228	-32.46367	-159.01933	0.48	0.089	11.41	0.73	1.87	0.019512	0.097561	101.7	35.453999	0.75122	18.131	0.08
S0253	1877263	-32.495	-157.9945	0.35	0.057	11.83	1.03	1.95	0.019512	0.058537	14.1	35.483002	0.741463	19.269	0.1
S0254	1877263	-32.495	-157.9945	0.35	0.073	15.63	0.98	1.96	0.019512	0.04878	31.2	35.485001	0.731707	19.278	0.1
S0255	1877263	-32.495	-157.9945	0.36	0.087	15.54	1.03	2.1	0.019512	0.04878	51.4	35.483002	0.741463	19.272	0.18
S0256	1877263	-32.495	-157.9945	0.35	0.064	14.66	0.97	2	0.019512	0.058537	76.6	35.484001	0.75122	19.283	0.14
S0257	1877263	-32.495	-157.9945	0.32	0.098	12.79	0.85	2.01	0.019512	0.058537	100.7	35.48	0.75122	18.326	0.07
S0258	1877263	-32.495	-157.9945	0.37	0.127	11.54	0.35	2.48	4.507317	0.370732	203.5	35.242001	1.356098	15.273	0.09
S0259	1877263	-32.5125	-158.028	NA	NA	NA	NA	NA	29.307318	1.804878	1017.6	34.314999	23.473171	4.949	NA
S0260	1877263	-32.5125	-158.028	NA	NA	NA	NA	NA	31.873171	2.614634	5715.6001	34.708	115.79512	1.153	NA
S0261	1877277	-32.494	-157.00883	0.62	0.219	11.16	0.85	2.14	0.019512	0.058537	15.1	35.403999	0.682927	18.826	0.28
S0262	1877277	-32.494	-157.00883	0.56	0.184	10.27	0.85	2.15	0.019512	0.058537	30.2	35.403	0.721951	18.83	0.22
S0263	1899495	-29.9999	159	0.243902	0.383415	16	1.102439	1.757073	0.136585	0.058537	15.5	35.623001	0.926829	22.027	0.426049
S0264	1899495	-29.9999	159	0.234146	0.350244	20	1.112195	1.85561	0.126829	0.058537	30	35.623001	0.897561	22.035	0.446341
S0265	1899495	-29.9999	159	0.253659	0.205854	36	1.102439	1.833171	0.126829	0.04878	50.6	35.622002	0.887805	22.043	0.541951
S0266	1899495	-29.9999	159	0.214634	0.343415	15	1.053658	1.840976	0.146341	0.058537	78	35.617001	0.887805	22.018	0.570341
S0267	1899495	-29.9999	159	0.204878	0.421463	13	0.917073	1.874146	0.146341	0.058537	101	35.616001	0.887805	22.015	1.358244
S0268	1899523	-30.0006	162.998	0.22439	NA	13	1.073171	1.896585	0.029268	0.039024	16.3	35.653	0.956098	21.925	NA
S0269	1899523	-30.0006	162.998	0.165854	NA	12	0.8	1.457561	0.019512	0.058537	30.1	35.652	0.936585	21.926	NA
S0270	1899523	-30.0006	162.998	NA	NA	NA	NA	NA	0.019512	0.039024	51.3	35.652	0.897561	21.93	NA
S0271	1899523	-30.0006	162.998	0.282927	NA	16	1.092683	1.964878	0.029268	0.058537	75	35.652	0.926829	21.93	NA
S0272	1899523	-30.0006	162.998	0.282927	NA	14	1.073171	1.889756	0.029268	0.04878	100.8	35.648998	0.926829	21.923	NA
S0273	1899558	-30	166.987	0.292683	NA	14	0.97561	1.879024	0.019512	0.039024	13.9	35.664001	0.790244	22.168	NA
S0274	1899558	-30	166.987	0.312195	NA	15	0.936585	1.852683	0.019512	0.019512	30.8	35.664001	0.790244	22.166	NA
S0275	1899558	-30	166.987	NA	NA	NA	NA	NA	0.019512	0.039024	51.1	35.662998	0.8	22.172	NA
S0276	1899558	-30	166.987	0.321951	NA	15	1.004878	1.90439	0.282927	0.068293	75	35.650002	0.858537	21.918	NA
S0277	1899558	-30	166.987	0.4	NA	16	0.712195	1.941463	2.634146	0.243902	101.7	35.612	1.219512	20.242	NA
S0278	1899306	-29.9997	171	NA	NA	NA	NA	NA	0.029268	0.058537	15.1	35.66	0.907317	21.381	NA
S0279	1899306	-29.9997	171	NA	NA	NA	NA	NA	0.039024	0.068293	30.7	35.660999	0.907317	21.385	NA
S0280	1899306	-29.9997	171	NA	NA	NA	NA	NA	0.039024	0.068293	50.4	35.659	0.897561	21.387	NA
S0281	1899306	-29.9997	171	NA	NA	NA	NA	NA	0.039024	0.078049	75.4	35.659	0.917073	21.391	NA
S0282	1899306	-29.9997	171	NA	NA	NA	NA	NA	0.04878	0.068293	100.5	35.655998	0.897561	21.381	NA
S0283	1899677	-32.4995	-176.03	0.292683	NA	11.8	0.887805	2.010634	0.019512	0.058537	15	35.522999	1.014634	20.118	NA
S0284	1899677	-32.4995	-176.03	0.263415	NA	12.9	0.887805	2.061268	0.019512	0.058537	29.3	35.511002	1.014634	20.078	NA
S0285	1899677	-32.4995	-176.03	0.243902	NA	15.8	1.004878	2.090829	0.019512	0.068293	48.9	35.488998	1.043902	19.998	NA
S0286	1899677	-32.4995	-176.03	0.263415	NA	15.2	0.858537	2.107414	0.019512	0.078049	76.8	35.487	1.034146	19.996	NA
S0287	1899677	-32.4995	-176.03	0.4	NA	11.4	0.702439	2.200293	2.253659	0.243902	100.3	35.534	1.580488	17.67	NA
S0288	1899677	-32.4995	-176.03	1.2	NA	11.8	0.234146	5.314634	29.287806	1.990244	1000	34.355	24.312195	5.315	NA
S0289	1899467	-30.0006	155.98599	NA	0.138537	36.169998	1.121951	2.092976	0.029268	0.058537	74.5	35.605	0.829268	21.756	0.025268
S0290	1899467	-30.0006	155.98599	NA	0.242927	54.330002	0.809756	2.192976	1.034146	0.136585	100.9	35.598	0.878049	21.308	0.150537
S0291	1899607	-30.0013	174.00101	0.214634	NA	10	0.995122	2.06439	0.019512	0.04878	15	35.577	0.780488	21.52	NA
S0292	1899607	-30.0013	174.00101	0.243902	NA	14	0.926829	2.009756	0.019512	0.04878	30.1	35.608002	0.809756	21.417	NA
S0293	1899607	-30.0013	174.00101	0.22439	NA	19	0.917073	2.017561	0.04878	0.068293	50.4	35.631001	0.858537	21.139	NA
S0299	1899187	-29.9982	153.50101	0.263415	0.765854	98.199997	1.463415	2.042439	0.068293	0.039024	15.2	35.505001	1.004878	23.305	0.186341
S0300	1899187	-29.9982	153.50101	0.302439	0.764878	127.300003	1.434146	2.053366	0.078049	0.04878	50	35.504002	0.995122	23.305	0.692488
S0301	1899453	-30.0019	154.004	0.360976	NA	23	1.258537	1.882927	0.019512	0.068293	15.5	35.571999	0.897561	23.49	NA
S0302	1899453	-30.0019	154.004	0.253659	NA	35	1.219512	1.866341	0.019512	0.068293	30.9	35.571999	0.897561	23.495	NA
S0303	1899453	-30.0019	154.004	0.321951	NA	51	1.2	1.883902	0.019512	0.058537	51.7	35.571999	0.868293	23.501	NA
S0304	1899453	-30.0019	154.004	0.273171	NA	32	1.131707	1.794146	0.019512	0.058537	75.9	35.570999	0.878049	23.505	NA
S0305	1899453	-30.0019	154.004	0.253659	NA	22	1.180488	1.936585	0.019512	0.058537	100	35.570999	0.858537	23.512	NA
S0306	1899467	-30.0006	155.98599	NA	0.188293	15.86	1.121951	2.079902	0.019512	0.058537	15.4	35.598	0.809756	21.934	0.038732
S0307	1899467	-30.0006	155.98599	NA	0.10439	24.59	1.131707	2.06478	0.019512	0.058537	30.9	35.598	0.790244	21.934	0.029171
S0308	1899467	-30.0006	155.98599	NA	0.121951	23.860001	1.112195	2.088	0.019512	0.058537	50.6	35.598	0.790244	21.906	0.057463
S0309	1899607	-30.0013	174.00101	0.292683	NA	13	0.702439	2.040976	1.073171	0.156098	75.2	35.624001	1.014634	20.413	NA
S0310	1899607	-30.0013	174.00101	0.292683	NA	14	0.634146	2.099512	2.653658	0.253659	100.4	35.576	1.356098	19.143	NA
S0311	1899614	-30.0002	175.98	0.234146	NA	14	0.878049	1.783415	0.019512	0.039024	15.6	35.630001	0.731707	21.604	NA
S0312	1899614	-30.0002	175.98	0.17561	NA	13	0.809756	1.731707	0.019512	0.039024	30.6	35.629002	0.770732	21.607	NA
S0313	1899614	-30.0002	175.98	0.282927	NA	35	0.897561	1.897561	0.019512	0.039024	50.3	35.632	0.731707	21.616	NA
S0314	1899614	-30.0002	175.98	0.195122	NA	13	0.868293	1.823415	0.019512	0.04878	75	35.640999	0.692683	21.623	NA
S0315	1899614	-30.0002	175.98	0.234146	NA	12	0.682927	1.897561	0.331707	0.117073	100	35.667999	0.839024	20.352	NA
S0316	1899684	-32.5001	-170	0.273171	0.058537	13	0.819512	1.915122	0.019512	0.04878	15.5	35.497002	0.887805	19.652	0.186341
S0317	1899684	-32.5001	-170	NA	NA	NA	NA	NA	0.019512	0.039024	28.4	35.497002	0.878049	19.654	NA
S0318	1899684	-32.5001	-170	0.253659	0.078049	17	0.809756	2.000976	0.019512	0.039024	49	35.497002	0.887805	19.661	0.186341
S0319	1899684	-32.5001	-170	NA	NA	NA	NA	NA	0.019512	0.04878	76	35.514999	0.887805	19.634	NA
S0320	1899684	-32.5001	-170	0.263415	0.04878	19	0.692683	2.041951	0.019512	0.087805	100.3	35.48	1.043902	17.727	0.186341
S0321	1899684	-32.5001	-170	NA	NA	NA	NA	NA	29.77561	2.009756	1001.5	34.338001	24.712194	5.101	NA
S0322	1899698	-32.4998	-171.99899	0.253659	0.117073	15	0.858537	1.965854	0.019512	0.039024	15.1	35.542999	0.878049	19.696	0.133951
S0323	1899698	-32.4998	-171.99899	0.22439	0.124878	13	0.848781	2.05561	0.019512	0.039024	30.9	35.544998	0.897561	19.661	0.153561
S0324	1899698	-32.4998	-171.99899	0.195122	0.117073	15	0.839024	2.071219	0.019512	0.04878	50	35.537998	0.907317	19.564	0.05961
S0325	1899698	-32.4998	-171.99899	NA	0.147317	NA	NA	NA	0.019512	0.04878	75.1	35.526001	0.926829	19.467	0.125854
S0326	1899698	-32.4998	-171.99899	0.263415	0.117073	27	0.8	2.187317	0.458537	0.146341	100.3	35.388	1.24878	17.184	0.186341
S0331	1877102	-32.49567	-164.99233	0.35	0.098	15.04	0.83	1.86	0.019512	0.068293	50.4	35.436001	0.643902	19.26	0.07
S0332	1877102	-32.49567	-164.99233	0.34	0.127	11.37	0.82	1.86	0.019512	0.058537	75.5	35.473	0.682927	19.362	0.06
S0333	1877102	-32.49567	-164.99233	0.34	0.105	10.67	0.8	1.84	0.019512	0.058537	100.7	35.465	0.673171	19.28	0.06
S0334	1877102	-32.49567	-164.99233	0.34	0.145	17.15	0.52	2.01	3.131707	0.35122	205.5	35.272999	1.112195	15.851	0.1
S0335	1877102	-32.515	-164.98117	NA	NA	NA	NA	NA	24.078049	1.570732	1032.8	34.306999	9.804878	5.032	NA
S0336	1877102	-32.515	-164.98117	NA	NA	NA	NA	NA	32.136585	2.409756	5198.3999	34.707001	118.20488	1.043	NA
S0337	1877130	-32.50433	-163.98967	0.38	0.158	11.42	0.59	1.94	0.019512	0.058537	17.1	35.469002	0.702439	19.398	0.11
S0338	1877130	-32.50433	-163.98967	0.37	0.149	12.31	0.82	1.94	0.019512	0.058537	31.2	35.460999	0.682927	19.471	0.11
S0339	1877130	-32.50433	-163.98967	0.35	0.142	12.41	0.86	1.95	0.019512	0.04878	51.4	35.469002	0.702439	19.405	0.11
S0340	1877130	-32.50433	-163.98967	0.38	0.159	12.07	0.88	1.95	0.019512	0.058537	76.6	35.458	0.692683	19.329	0.12
S0341	1877130	-32.50433	-163.98967	0.4	0.162	11.19	0.94	1.96	0.019512	0.058537	102.7	35.460999	0.663415	19.269	0.09
S0342	1877277	-32.494	-157.00883	0.5	0.184	11.99	0.91	2.11	0.019512	0.058537	49.4	35.403	0.643902	18.832	0.19
