sampleID	bottle_num_BODC	station_num_BODC	lat	lon	depth	geojoin.dist.km	chla_norm	dcm_depth	dcm.layer	dcm.max
S0252	1155512	1877228	-32.46367	-159.01933	101	NA	0.6777218094561395	101.3	1	0
S0253	1155698	1877263	-32.495	-157.9945	14	NA	0.266550396573741	102.6	0	0
S0254	1155674	1877263	-32.495	-157.9945	31	NA	0.30365429498401	107.9	0	0
S0255	1155668	1877263	-32.495	-157.9945	51	NA	0.32793362346579213	107.9	0	0
S0256	1155662	1877263	-32.495	-157.9945	76	NA	0.37254805534460206	108	0	0
S0257	1155656	1877263	-32.495	-157.9945	100	NA	0.6822904159334524	101.2	1	0
S0258	1155638	1877263	-32.495	-157.9945	202	NA	0.2692005846970457	107.8	0	0
S0259	1155833	1877263	-32.5125	-158.028	1008	NA	0	101.7	0	0
S0260	1155776	1877263	-32.5125	-158.028	5601	NA	0	101.7	0	0
S0261	1155905	1877277	-32.494	-157.00883	15	NA	0.266550396573741	102.6	0	0
S0262	1155878	1877277	-32.494	-157.00883	30	NA	0.2989783740260597	107.8	0	0
S0263	1223669	1899495	-29.9999	159	15.5	0.21728738567605957	0.9010779716012282	62	1	1
S0264	1223666	1899495	-29.9999	159	30	0.21728738567605957	0.9132268138730977	62	1	1
S0265	1223663	1899495	-29.9999	159	50.6	0.21728738567605957	0.9450515467320446	62	1	1
S0266	1222871	1899495	-29.9999	159	78	0.21728738567605957	0.9884250911650552	62	1	1
S0267	1223687	1899495	-29.9999	159	101	0.21728738567605957	0.9809091831825538	62	1	1
S0268	1223804	1899523	-30.0006	162.998	16.1	0.10619105667006953	0.9187325420981733	63	1	1
S0269	1223798	1899523	-30.0006	162.998	29.9	0.10619105667006953	0.925219008074068	63	1	1
S0270	1223792	1899523	-30.0006	162.998	51.3	0.10619105667006953	0.9849995256925567	63	1	1
S0271	1223834	1899523	-30.0006	162.998	74	0.10619105667006953	0.9836218116376072	63	1	1
S0272	1223831	1899523	-30.0006	162.998	100.8	0.10619105667006953	0.9909675600812012	63	1	1
S0273	1223984	1899558	-30	166.987	13.8	1.2581963321067084	0.7005979202538731	67	1	0
S0274	1223981	1899558	-30	166.987	30.8	1.2581963321067084	0.7508354755205001	67	1	0
S0275	1223978	1899558	-30	166.987	51.1	1.2581963321067084	0.971145459689489	67	1	1
S0276	1224011	1899558	-30	166.987	74.8	1.2581963321067084	0.9932768886161792	67	1	1
S0277	1224008	1899558	-30	166.987	101.7	1.2581963321067084	0.6476598801456417	67	1	0
S0278	1222262	1899306	-29.9997	171	15.1	0.27016578197051055	0.9509288230762666	52	1	1
S0279	1222256	1899306	-29.9997	171	30.7	0.27016578197051055	0.9605406024820455	52	1	1
S0280	1222250	1899306	-29.9997	171	50.4	0.27016578197051055	0.9789605234451957	52	1	1
S0281	1222292	1899306	-29.9997	171	75.4	0.27016578197051055	0.9965353300007269	52	1	1
S0282	1222289	1899306	-29.9997	171	100.5	0.27016578197051055	0.9221755722427218	52	1	1
S0283	1224224	1899677	-32.4995	-176.03	14.9	3.0987357270238425	0.6185735411430306	96	1	0
S0284	1223207	1899677	-32.4995	-176.03	29.3	3.0987357270238425	0.6075182241646516	96	1	0
S0285	1223204	1899677	-32.4995	-176.03	48.9	3.0987357270238425	0.6757581295967966	96	1	0
S0286	1224218	1899677	-32.4995	-176.03	76.8	3.0987357270238425	0.7726107524201672	96	1	0
S0287	1223198	1899677	-32.4995	-176.03	100.3	3.0987357270238425	0.9968570969001709	96	1	1
S0288	1223225	1899677	-32.4995	-176.03	999.9	3.0987357270238425	0	95.8	0	0
S0289	1222811	1899467	-30.0006	155.98599	74.5	1.3522841903541136	0.8329093737930137	33	1	0
S0290	1223579	1899467	-30.0006	155.98599	100.9	1.3522841903541136	0.5391930017115414	33	1	0
S0291	1222409	1899607	-30.0013	174.00101	14.9	0.2694740502272414	0.18767985573351698	70	0	0
S0292	1222406	1899607	-30.0013	174.00101	30.1	0.2694740502272414	0.21502846810012174	70	0	0
S0293	1222400	1899607	-30.0013	174.00101	50.4	0.2694740502272414	0.5919260692199195	70	1	0
S0299	1223384	1899187	-29.9982	153.50101	15	0.022284706198009725	0.03113913535776372	58	0	0
S0300	1223423	1899187	-29.9982	153.50101	49.8	0.022284706198009725	0.8426664622945876	58	1	0
S0301	1223459	1899453	-30.0019	154.004	15.5	0.25286755302431496	0.9509800712471264	69	1	1
S0302	1223453	1899453	-30.0019	154.004	30.8	0.25286755302431496	0.9720821881558711	69	1	1
S0303	1223447	1899453	-30.0019	154.004	51.7	0.25286755302431496	0.9912271097758809	69	1	1
S0304	1223486	1899453	-30.0019	154.004	75.2	0.25286755302431496	0.9722340632997037	69	1	1
S0305	1223483	1899453	-30.0019	154.004	99	0.25286755302431496	0.9494990064155022	69	1	1
S0306	1223552	1899467	-30.0006	155.98599	15.4	1.3522841903541136	0.9671376109179242	33	1	1
S0307	1222814	1899467	-30.0006	155.98599	30.9	1.3522841903541136	0.9828879405284624	33	1	1
S0308	1223543	1899467	-30.0006	155.98599	50.6	1.3522841903541136	0.9876005288743823	33	1	1
S0309	1222397	1899607	-30.0013	174.00101	75.1	0.2694740502272414	0.941581274939013	70	1	1
S0310	1222430	1899607	-30.0013	174.00101	100.4	0.2694740502272414	0.7195457200725616	70	1	0
S0311	1222499	1899614	-30.0002	175.98	15.6	1.9282319378407633	0.36406940325035664	113	0	0
S0312	1222496	1899614	-30.0002	175.98	30.6	1.9282319378407633	0.36939204731833886	113	0	0
S0313	1222490	1899614	-30.0002	175.98	50.3	1.9282319378407633	0.3443159421463446	113	0	0
S0314	1222487	1899614	-30.0002	175.98	74.5	1.9282319378407633	0.3700188512991407	113	0	0
S0315	1222523	1899614	-30.0002	175.98	99.7	1.9282319378407633	0.7106450822608382	113	1	0
S0316	1223312	1899684	-32.5001	-170	15.5	0.011131921411150077	0.3008475376974759	108	0	0
S0317	1223306	1899684	-32.5001	-170	28.4	0.011131921411150077	0.2964299315413022	108	0	0
S0318	1223300	1899684	-32.5001	-170	48.6	0.011131921411150077	0.32678497673967966	108	0	0
S0319	1224245	1899684	-32.5001	-170	76	0.011131921411150077	0.4128429121286907	108	0	0
S0320	1223297	1899684	-32.5001	-170	100.3	0.011131921411150077	0.9203627108208657	108	1	1
S0321	1222625	1899684	-32.5001	-170	1001.5	0.011131921411150077	0	101.7	0	0
S0322	1222715	1899698	-32.4998	-171.99899	15.1	0.022283629667022086	0.33376016682177684	95	0	0
S0323	1222706	1899698	-32.4998	-171.99899	30.9	0.022283629667022086	0.40394111009552647	95	0	0
S0324	1222700	1899698	-32.4998	-171.99899	49.8	0.022283629667022086	0.4016212527565548	95	0	0
S0325	1222742	1899698	-32.4998	-171.99899	75.1	0.022283629667022086	0.6795231259503774	95	1	0
S0326	1222739	1899698	-32.4998	-171.99899	100.3	0.022283629667022086	0.9582667222483316	95	1	1
S0331	1154516	1877102	-32.49567	-164.99233	50	NA	0.3325509825524911	107.8	0	0
S0332	1154510	1877102	-32.49567	-164.99233	75	NA	0.38048306125525505	107.9	0	0
S0333	1154504	1877102	-32.49567	-164.99233	100	NA	0.6971427100439349	101.4	1	0
S0334	1154486	1877102	-32.49567	-164.99233	204	NA	0.2733619554278068	107.9	0	0
S0335	1152842	1877102	-32.515	-164.98117	1023	NA	0	101.7	0	0
S0336	1152779	1877102	-32.515	-164.98117	5100	NA	0	101.7	0	0
S0337	1152896	1877130	-32.50433	-163.98967	17	NA	0.30623443313886634	107.6	0	0
S0338	1152887	1877130	-32.50433	-163.98967	31	NA	0.3101157810470817	107.6	0	0
S0339	1152881	1877130	-32.50433	-163.98967	51	NA	0.3517322521408276	107.6	0	0
S0340	1152875	1877130	-32.50433	-163.98967	76	NA	0.3738201278682078	107.6	0	0
S0341	1152866	1877130	-32.50433	-163.98967	102	NA	0.6801001504786404	100.5	1	0
S0342	1155872	1877277	-32.494	-157.00883	49	NA	0.31985881200046257	107.9	0	0
S0343	1155866	1877277	-32.494	-157.00883	76	NA	0.37463504500434336	108	0	0
S0344	1155860	1877277	-32.494	-157.00883	102	NA	0.6841804291895094	105.4	1	0
S0345	1156046	1877298	-32.50383	-156.01067	15	NA	0.26763897811797266	100.7	0	0
S0346	1156019	1877298	-32.50383	-156.01067	31	NA	0.3050798681470969	107.6	0	0
S0347	1156013	1877298	-32.50383	-156.01067	52	NA	0.3472250399405227	107.6	0	0
S0348	1156007	1877298	-32.50383	-156.01067	77	NA	0.3865718195042472	107.5	0	0
S0349	1156001	1877298	-32.50383	-156.01067	102	NA	0.6746126499607901	100.4	1	0
S0350	1156181	1877319	-32.4995	-154.99933	14	NA	0.3005313140448693	100.4	0	0
S0351	1156163	1877319	-32.4995	-154.99933	30	NA	0.3180187420187529	107	0	0
S0352	1156157	1877319	-32.4995	-154.99933	51	NA	0.3678709169168901	107	0	0
S0353	1156151	1877319	-32.4995	-154.99933	74	NA	0.3565745519797175	107.1	0	0
S0354	1156145	1877319	-32.4995	-154.99933	101	NA	0.7088939992979293	99.8	1	0
S0355	1156325	1877354	-32.50133	-153.99817	15	NA	0.26763897811797266	100.7	0	0
S0356	1156301	1877354	-32.50133	-153.99817	32	NA	0.2988996547213514	107.6	0	0
S0357	1156295	1877354	-32.50133	-153.99817	51	NA	0.3452787840514477	107.6	0	0
S0358	1156289	1877354	-32.50133	-153.99817	77	NA	0.3865718195042472	107.5	0	0
S0359	1156283	1877354	-32.50133	-153.99817	100	NA	0.6782961431613193	100	1	0
S0360	1156265	1877354	-32.50133	-153.99817	201	NA	0.2719513344161799	107.6	0	0
S0361	1156466	1877354	-32.49483	-154.00417	1008	NA	0	102.4	0	0
S0362	1156412	1877354	-32.49483	-154.00417	5095	NA	0	102.4	0	0
S0363	1156538	1877375	-32.494	-153.00567	15	NA	0.266550396573741	102.6	0	0
S0365	1154141	1877039	-32.495	-168.002	75	NA	0.38492129272519576	107.9	0	0
S0366	1154138	1877039	-32.495	-168.002	101	NA	0.7090253266408987	105.3	1	0
S0367	1154327	1877053	-32.49717	-167.00217	14	NA	0.31063328985777083	102.7	0	0
S0368	1154300	1877053	-32.49717	-167.00217	31	NA	0.36158315977061095	107.9	0	0
S0369	1154294	1877053	-32.49717	-167.00217	52	NA	0.3721484851531709	108	0	0
S0370	1154288	1877053	-32.49717	-167.00217	78	NA	0.6213018813062812	100.8	1	0
S0371	1154282	1877053	-32.49717	-167.00217	102	NA	0.727648790266307	101.4	1	0
S0372	1154399	1877074	-32.4985	-165.99883	16	NA	0.3150820226494663	107.9	0	0
S0373	1154372	1877074	-32.4985	-165.99883	30	NA	0.3152705819157101	107.8	0	0
S0374	1154366	1877074	-32.4985	-165.99883	48	NA	0.32684321962595975	107.9	0	0
S0375	1154360	1877074	-32.4985	-165.99883	76	NA	0.3831343001645991	107.9	0	0
S0376	1154354	1877074	-32.4985	-165.99883	102	NA	0.7062745617426797	105.4	1	0
S0377	1152704	1877102	-32.49567	-164.99233	15	NA	0.2699471814226183	102.6	0	0
S0378	1154522	1877102	-32.49567	-164.99233	28	NA	0.3134027935821899	107.9	0	0
S0379	1153013	1877151	-32.50633	-162.9935	15	NA	0.23756496548538766	99.2	0	0
S0380	1153007	1877151	-32.50633	-162.9935	33	NA	0.2699400210289208	107.6	0	0
S0381	1153001	1877151	-32.50633	-162.9935	50	NA	0.2799446738252027	107.6	0	0
S0382	1152995	1877151	-32.50633	-162.9935	75	NA	0.30848993298952343	107.6	0	0
S0383	1152989	1877151	-32.50633	-162.9935	102	NA	0.5591552206932733	98.6	1	0
S0384	1153175	1877172	-32.509	-162.009	16	NA	0.233411496921208	105.7	0	0
S0385	1153148	1877172	-32.509	-162.009	30	NA	0.266916415116218	107.5	0	0
S0386	1153142	1877172	-32.509	-162.009	52	NA	0.2801782388472351	107.6	0	0
S0387	1153136	1877172	-32.509	-162.009	76	NA	0.3063453173527218	107.6	0	0
S0388	1153130	1877172	-32.509	-162.009	101	NA	0.5569891712211124	98.4	1	0
S0389	1153316	1877193	-32.49783	-160.99283	15	NA	0.27520520926748104	102.6	0	0
S0390	1153289	1877193	-32.49783	-160.99283	30	NA	0.3144379617189261	107.8	0	0
S0391	1153283	1877193	-32.49783	-160.99283	50	NA	0.33315082474064983	107.8	0	0
S0392	1153277	1877193	-32.49783	-160.99283	73	NA	0.37348069491926966	108	0	0
S0393	1153271	1877193	-32.49783	-160.99283	100	NA	0.7039903310434048	101.2	1	0
S0394	1155413	1877207	-32.51033	-160.00783	15	NA	0.23597629193085962	99.2	0	0
S0395	1155410	1877207	-32.51033	-160.00783	32	NA	0.23552704696956667	105.7	0	0
S0396	1155404	1877207	-32.51033	-160.00783	49	NA	0.27542647545087573	107.6	0	0
S0397	1155398	1877207	-32.51033	-160.00783	72	NA	0.30070371407644814	107.6	0	0
S0398	1155392	1877207	-32.51033	-160.00783	102	NA	0.5565500767334082	98.6	1	0
S0399	1155560	1877228	-32.46367	-159.01933	15	NA	0.26423889048083266	102.6	0	0
S0400	1155533	1877228	-32.46367	-159.01933	32	NA	0.30125316521879986	107.9	0	0
S0401	1155527	1877228	-32.46367	-159.01933	49	NA	0.3081617070696779	107.9	0	0
S0402	1155521	1877228	-32.46367	-159.01933	76	NA	0.3654769222298247	108	0	0
S0403	1156505	1877375	-32.494	-153.00567	52	NA	0.3301847363281817	107.9	0	0
S0404	1156499	1877375	-32.494	-153.00567	77	NA	0.39211335663221397	107.9	0	0
S0405	1156493	1877375	-32.494	-153.00567	101	NA	0.6852229496382924	105.1	1	0
S0406	1156682	1877403	-32.4885	-151.9995	15	NA	0.26423889048083266	102.6	0	0
S0407	1156655	1877403	-32.4885	-151.9995	30	NA	0.2968504390782969	107.8	0	0
S0408	1156649	1877403	-32.4885	-151.9995	52	NA	0.3241961599319897	107.9	0	0
S0409	1156643	1877403	-32.4885	-151.9995	75	NA	0.35970181123737316	108	0	0
S0410	1156637	1877403	-32.4885	-151.9995	102	NA	0.680438650453147	105.4	1	0
S0411	1156883	1877424	-32.49567	-151.00067	15	NA	0.268579367218639	102.6	0	0
S0412	1156871	1877424	-32.49567	-151.00067	30	NA	0.30298029313422936	107.8	0	0
S0413	1156865	1877424	-32.49567	-151.00067	50	NA	0.3273560901755514	107.9	0	0
S0414	1156859	1877424	-32.49567	-151.00067	76	NA	0.3782582791310617	107.9	0	0
S0415	1222577	1899628	-31.5988	178	15.2	0.20950071386242455	0.7362697002383687	81	1	0
S0416	1222574	1899628	-31.5988	178	30	0.20950071386242455	0.7277333350440397	81	1	0
S0417	1222571	1899628	-31.5988	178	51.2	0.20950071386242455	0.8203678263730484	81	1	0
S0418	1222601	1899628	-31.5988	178	74.1	0.20950071386242455	0.9370872652856987	81	1	1
S0419	1222598	1899628	-31.5988	178	99.8	0.20950071386242455	0.7746300978676958	81	1	0
S0420	1223060	1899656	-32.4995	-179.125	15.6	11.829757926093416	0.8247795338005516	86	1	0
S0421	1223054	1899656	-32.4995	-179.125	29.5	11.829757926093416	0.8341873344421445	86	1	0
S0422	1223048	1899656	-32.4995	-179.125	51.1	11.829757926093416	0.903971204432775	86	1	1
S0423	1223090	1899656	-32.4995	-179.125	74.7	11.829757926093416	0.976560747143971	86	1	1
S0424	1223087	1899656	-32.4995	-179.125	99.9	11.829757926093416	0.96747868471916	86	1	1
S0425	1223069	1899656	-32.4995	-179.125	1001.5	11.829757926093416	0	94.4	0	0
S0426	1153688	1876962	-32.49667	-170.99533	16	0.6486916742408003	0.38440477972627546	108	0	0
S0427	1153676	1876962	-32.49667	-170.99533	32	0.6486916742408003	0.3855709147590716	108	0	0
S0428	1153670	1876962	-32.49667	-170.99533	52	0.6486916742408003	0.3894610696885633	108	0	0
S0429	1153664	1876962	-32.49667	-170.99533	75	0.6486916742408003	0.48209137487423537	108	0	0
S0430	1153658	1876962	-32.49667	-170.99533	103	0.6486916742408003	0.991436362449764	108	1	1
S0431	1153841	1876997	-32.49367	-169.99517	16	0.8379618260228152	0.3008475376974759	108	0	0
S0432	1153820	1876997	-32.49367	-169.99517	32	0.8379618260228152	0.29676177190958763	108	0	0
S0433	1153814	1876997	-32.49367	-169.99517	51	0.8379618260228152	0.3393269729429621	108	0	0
S0434	1153808	1876997	-32.49367	-169.99517	75	0.8379618260228152	0.4085903263183607	108	0	0
S0435	1153802	1876997	-32.49367	-169.99517	103	0.8379618260228152	0.972512589487669	108	1	1
S0436	1153793	1876997	-32.49367	-169.99517	203	0.8379618260228152	0.1637234288998266	108	0	0
S0437	1153967	1876997	-32.4875	-169.991	1012	NA	0	102.4	0	0
S0438	1153916	1876997	-32.4875	-169.991	4580	NA	0	102.4	0	0
S0439	1154021	1877018	-32.499	-169.00233	17	93.667164585852	0.2993517064983421	108	0	0
S0440	1154009	1877018	-32.499	-169.00233	32	93.667164585852	0.29676177190958763	108	0	0
S0441	1154003	1877018	-32.499	-169.00233	52	93.667164585852	0.34606791159628625	108	0	0
S0442	1153997	1877018	-32.499	-169.00233	76	93.667164585852	0.4128429121286907	108	0	0
S0443	1153991	1877018	-32.499	-169.00233	101	93.667164585852	0.9411686719896436	108	1	1
S0444	1154183	1877039	-32.495	-168.002	15	NA	0.2879609849104001	101.5	0	0
S0445	1154156	1877039	-32.495	-168.002	30	NA	0.32694793768574737	107.8	0	0
S0446	1154147	1877039	-32.495	-168.002	50	NA	0.35616806616741475	107.9	0	0
