sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
tara_S0001	tara	NA	NA	TARA_004	TARA_X000000368	2009-09-15	NA	36.5533	-6.5669	40	north atlantic	A	epipelagic
tara_S0002	tara	NA	NA	TARA_004	TARA_X000000368	2009-09-15	NA	36.5533	-6.5669	40	north atlantic	B	epipelagic
tara_S0003	tara	NA	NA	TARA_004	TARA_S200000501	2009-09-15	NA	36.5533	-6.5669	5	north atlantic	A	epipelagic
tara_S0004	tara	NA	NA	TARA_004	TARA_S200000501	2009-09-15	NA	36.5533	-6.5669	5	north atlantic	B	epipelagic
tara_S0005	tara	NA	NA	TARA_018	TARA_E500000081	2009-11-02	NA	35.7528	14.2765	60	mediterranean	A	epipelagic
tara_S0006	tara	NA	NA	TARA_018	TARA_E500000081	2009-11-02	NA	35.7528	14.2765	60	mediterranean	B	epipelagic
tara_S0007	tara	NA	NA	TARA_018	TARA_E500000331	2009-11-02	NA	35.759	14.2574	5	mediterranean	A	epipelagic
tara_S0008	tara	NA	NA	TARA_018	TARA_E500000331	2009-11-02	NA	35.759	14.2574	5	mediterranean	B	epipelagic
tara_S0009	tara	NA	NA	TARA_023	TARA_A100001011	2009-11-18	NA	42.1735	17.7252	55	mediterranean	A	epipelagic
tara_S0010	tara	NA	NA	TARA_023	TARA_A100001011	2009-11-18	NA	42.1735	17.7252	55	mediterranean	B	epipelagic
tara_S0011	tara	NA	NA	TARA_023	TARA_A100001011	2009-11-18	NA	42.2038	17.715	5	mediterranean	A	epipelagic
tara_S0012	tara	NA	NA	TARA_023	TARA_A100001011	2009-11-18	NA	42.2038	17.715	5	mediterranean	B	epipelagic
tara_S0013	tara	NA	NA	TARA_025	TARA_A100001037	2009-11-23	NA	39.3991	19.3997	50	mediterranean	A	epipelagic
tara_S0014	tara	NA	NA	TARA_025	TARA_A100001037	2009-11-23	NA	39.3991	19.3997	50	mediterranean	B	epipelagic
tara_S0015	tara	NA	NA	TARA_025	TARA_B100000029	2009-11-23	NA	39.3888	19.3905	5	mediterranean	A	epipelagic
tara_S0016	tara	NA	NA	TARA_025	TARA_B100000029	2009-11-23	NA	39.3888	19.3905	5	mediterranean	B	epipelagic
tara_S0017	tara	NA	NA	TARA_030	TARA_B100000035	2009-12-15	NA	33.9235	32.8118	70.5	mediterranean	A	epipelagic
tara_S0018	tara	NA	NA	TARA_030	TARA_B100000035	2009-12-15	NA	33.9235	32.8118	70.5	mediterranean	B	epipelagic
tara_S0019	tara	NA	NA	TARA_030	TARA_B100000073	2009-12-15	NA	33.9235	32.8118	70.5	mediterranean	C	epipelagic
tara_S0020	tara	NA	NA	TARA_030	TARA_B100000073	2009-12-15	NA	33.9235	32.8118	70.5	mediterranean	D	epipelagic
tara_S0021	tara	NA	NA	TARA_030	TARA_B100000085	2009-12-15	NA	33.9179	32.898	5	mediterranean	A	epipelagic
tara_S0022	tara	NA	NA	TARA_030	TARA_B100000105	2009-12-15	NA	33.9179	32.898	5	mediterranean	B	epipelagic
tara_S0023	tara	NA	NA	TARA_031	TARA_B100000097	2010-01-09	NA	27.1433	34.8	5	red sea	A	epipelagic
tara_S0024	tara	NA	NA	TARA_031	TARA_B100000097	2010-01-09	NA	27.1433	34.8	5	red sea	B	epipelagic
tara_S0025	tara	NA	NA	TARA_032	TARA_B100000287	2010-01-11	NA	23.4183	37.245	80	red sea	A	epipelagic
tara_S0026	tara	NA	NA	TARA_032	TARA_B100000287	2010-01-11	NA	23.4183	37.245	80	red sea	B	epipelagic
tara_S0027	tara	NA	NA	TARA_032	TARA_B100000131	2010-01-11	NA	23.36	37.2183	5	red sea	A	epipelagic
tara_S0028	tara	NA	NA	TARA_032	TARA_B100000131	2010-01-11	NA	23.36	37.2183	5	red sea	B	epipelagic
tara_S0029	tara	NA	NA	TARA_032	TARA_B100000214	2010-01-11	NA	23.36	37.2183	5	red sea	C	epipelagic
tara_S0030	tara	NA	NA	TARA_033	TARA_B100000214	2010-01-13	NA	21.9467	38.2517	5	red sea	A	epipelagic
tara_S0031	tara	NA	NA	TARA_033	TARA_B000000557	2010-01-13	NA	21.9467	38.2517	5	red sea	B	epipelagic
tara_S0032	tara	NA	NA	TARA_034	TARA_B100000405	2010-01-20	NA	18.4417	39.8567	60	red sea	A	epipelagic
tara_S0033	tara	NA	NA	TARA_034	TARA_B100000405	2010-01-20	NA	18.4417	39.8567	60	red sea	B	epipelagic
tara_S0034	tara	NA	NA	TARA_034	TARA_B100000405	2010-01-20	NA	18.3967	39.875	5	red sea	A	epipelagic
tara_S0035	tara	NA	NA	TARA_034	TARA_B000000441	2010-01-20	NA	18.3967	39.875	5	red sea	B	epipelagic
tara_S0036	tara	NA	NA	TARA_036	TARA_B000000441	2010-03-12	NA	20.8222	63.5133	17	indian	A	epipelagic
tara_S0037	tara	NA	NA	TARA_036	TARA_B000000441	2010-03-12	NA	20.8222	63.5133	17	indian	B	epipelagic
tara_S0038	tara	NA	NA	TARA_036	TARA_B000000477	2010-03-12	NA	20.8183	63.5047	5	indian	A	epipelagic
tara_S0039	tara	NA	NA	TARA_036	TARA_B000000477	2010-03-12	NA	20.8183	63.5047	5	indian	B	epipelagic
tara_S0040	tara	NA	NA	TARA_038	TARA_B100000482	2010-03-15	NA	19.0284	64.5126	25	indian	A	epipelagic
tara_S0041	tara	NA	NA	TARA_038	TARA_B100000482	2010-03-15	NA	19.0284	64.5126	25	indian	B	epipelagic
tara_S0042	tara	NA	NA	TARA_038	TARA_B100000482	2010-03-15	NA	19.0393	64.4913	5	indian	A	epipelagic
tara_S0043	tara	NA	NA	TARA_038	TARA_B100000427	2010-03-15	NA	19.0393	64.4913	5	indian	B	epipelagic
tara_S0044	tara	NA	NA	TARA_039	TARA_B100000427	2010-03-18	NA	18.5839	66.4727	25	indian	A	epipelagic
