sampleID	RPK_prochlorococcus_TBDT	RPK_total_prochlorococcus_reads	RPK_prochlorococcus_marker_median	W	M	RA
S0027	0	28935.634366645932	116.80501938620222	0	17077210	0
S0033	10.921501706484642	97370.26010429568	440.2808589008402	24	8564103	0.024805760881247797
S0041	5.005688282138794	142721.70726316303	646.5409015583934	11	13049489	0.007742260806815633
S0047	55.062571103526736	380567.4871829508	1760.167746097917	121	16233300	0.03128257021275042
S0048	35.49488054607509	181662.80747800507	820.7191109435006	78	9528064	0.0432485122775685
S0049	1.3651877133105803	340498.1296329563	1559.1573089959365	3	21353405	8.755933127682488e-4
S0050	0.9101251422070534	140235.08631031468	635.089444450382	2	8896597	0.0014330660825180182
S0051	0.9101251422070534	30202.65055646302	140.76371287628908	2	12517126	0.006465623303123026
S0057	1.3651877133105803	292004.7621588077	1344.3167636428457	3	15634933	0.0010155253212875055
S0058	0	209202.01061751152	960.501790952851	0	11003180	0
S0059	2.2753128555176336	351681.2761880888	1630.9073640369784	5	17990993	0.001395120842354627
S0060	3.6405005688282137	297755.8926002027	1375.3496617920327	8	16233292	0.002646963655834814
S0064	2.7303754266211606	114669.64632320689	526.7097152920462	6	5924228	0.005183833423515345
S0065	1.3651877133105803	22518.546546436202	105.29096801465413	3	6589607	0.012965857746892184
S0066	0	43440.84688754061	199.90600524246935	0	5972505	0
S0072	0.9101251422070534	203835.57428481927	974.5588411971764	2	10225303	9.338842394462599e-4
S0073	0.4550625711035267	197143.8477593095	887.373266476276	1	7817595	5.12819788802701e-4
S0074	15.47212741751991	290003.710870743	1384.5105944294062	34	12422064	0.01117516000222186
S0075	0	93531.02453675907	445.23942612260095	0	16269543	0
S0082	0.4550625711035267	361945.0288905857	1695.199028923021	1	15187715	2.6844197249961443e-4
S0083	0.4550625711035267	347887.6986712869	1617.408582508092	1	16693998	2.813528851181609e-4
S0084	2.7303754266211606	214138.5880780036	995.0520179863717	6	14788891	0.0027439524540098527
S0085	1.3651877133105803	139370.31358668505	648.7647877522619	3	9392625	0.002104287623316407
S0086	0	25611.321714259902	119.84361067288562	0	10525257	0
S0090	0	134445.77873944535	632.2115652396695	0	15636099	0
S0091	0	98545.03037070484	459.89667146607906	0	11408345	0
S0092	2.2753128555176336	447411.6441348364	2084.7630718954233	5	14078397	0.0010914011698456296
S0093	11.376564277588168	394864.96226215584	1848.1557432674213	25	15775982	0.006155630724862575
S0094	0.9101251422070534	103208.68426024872	484.1238960142721	2	14573944	0.0018799426132442402
S0095	0	21976.602774742743	100.41993590451975	0	18842929	0
S0098	68.71444823663253	479754.24746466684	2257.350359482951	151	13614349	0.030440311557294843
S0099	59.15813424345848	206829.89596251483	966.3432352063544	130	15163111	0.06121855267173859
S0100	3.185437997724687	138488.6522129443	645.8629439586279	7	12808032	0.004932064964434215
S0105	0	83824.02167041051	397.21538677308695	0	14315150	0
S0106	5.005688282138794	249994.20616400472	1167.7735917453151	11	12060691	0.0042865229334887265
S0107	0	327395.3434058246	1553.508862030793	0	11707288	0
S0108	2.2753128555176336	119553.39277979222	558.1455786309928	5	9241037	0.004076558056947206
S0109	2.7303754266211606	73214.02906449881	343.3861181708114	6	9648464	0.007951327331359921
S0122	0	214916.0093842551	1001.9200741133671	0	19445432	0
S0123	0.9101251422070534	167933.34414927126	789.1454391975772	2	14742928	0.001153304697715153
S0124	0.9101251422070534	146309.51713724612	680.3006085635715	2	12550362	0.001337827911294608
S0125	0.4550625711035267	47416.369904040526	221.00742376832937	1	10926427	0.002059037489982894
S0130	0.4550625711035267	95781.90536338493	441.6765263618532	1	12768000	0.0010303073492538444
S0131	1.3651877133105803	101222.98805803953	468.4840938065164	3	11319798	0.002914053500126734
S0132	0.4550625711035267	98186.4513808755	446.88050958311914	1	12199599	0.0010183092825597616
