sampleID	RPK_prochlorococcus_TBDT	RPK_total_prochlorococcus_reads	RPK_prochlorococcus_marker_median	W	M	RA
S0175	25.028441410693972	754871.6014770574	3488.614131784102	55	22278226	0.007174322084711114
S0501	31.399317406143343	272466.0006513149	1290.657240566714	69	8045213	0.024328161202858346
S0502	40.50056882821388	146925.65974864335	690.5536344027122	89	5946800	0.058649418105292374
S0504	40.50056882821388	1030788.8446346045	4868.488717251237	89	27481974	0.00831892013731124
S0505	115.58589306029579	303087.2055870779	1402.5773869727066	254	14921546	0.08240963681139472
S0506	14.106939704209328	46764.15138544683	215.80237916296582	31	10876764	0.06536971352644957
S0507	94.65301478953356	712547.4054184423	3452.748321202376	208	19429906	0.027413818206295397
S0508	88.73720136518772	200230.2299641341	935.7821949654256	195	10185631	0.09482676828283348
S0509	1.8202502844141069	42520.17804671581	201.63508996690325	4	12849792	0.009027447974025186
S0510	44.141069397042095	392730.0588660775	1835.9323179929786	97	11663362	0.02404286310799117
S0511	71.89988623435723	174682.10799044042	809.6157173132648	158	9200945	0.08880742393806194
S0512	58.24800910125142	43545.905459918074	198.07037561713187	128	10316093	0.2940773395302903
S0513	25.938566552901023	296524.40808275307	1390.1955291612983	57	10493380	0.018658214624348347
S0514	224.3458475540387	326587.0705725732	1505.5098718537374	493	11085284	0.14901652373610888
S0516	35.49488054607509	423021.85334467556	1984.2550116785144	78	13410643	0.01788826553903945
S0517	215.69965870307166	175957.70061558543	827.1894042403181	474	10832797	0.2607621151786487
S0519	3.185437997724687	311392.7709165879	1454.0445839675285	7	10632083	0.0021907430025514428
S0520	115.58589306029579	59842.38582183816	276.41024809995315	254	6279725	0.4181679002672093
S0522	14.562002275312855	569477.8362177506	2714.4553811651754	32	16237821	0.005364612870911195
S0523	153.3560864618885	189260.9025470905	878.751923945826	337	15244728	0.17451579027364125
S0525	53.69738339021615	491382.95839606656	2300.5229694247264	118	14767284	0.023341381113722953
S0526	78.27076222980659	211838.8828642567	981.2566391009539	172	11596383	0.07976584219753129
S0528	10.921501706484642	335213.1619962466	1559.140502238429	24	12420581	0.007004822009821979
S0529	60.52332195676906	139262.45321790403	644.9546341681441	133	10482344	0.0938412079709008
S0530	2.7303754266211606	54450.24420917731	249.55954242040733	6	14012972	0.010940777499990674
S0531	15.017064846416382	329960.3397614529	1529.1139915897709	33	8962546	0.009820762172742675
S0532	263.481228668942	300653.01827556104	1400.4791612306376	579	17091421	0.18813648639899372
S0533	7.281001137656427	37093.904263754244	172.37364275498007	16	15331991	0.04223964302945075
S0534	6.825938566552901	268107.92087164987	1257.4998909755498	15	8499947	0.005428182233286271
S0535	23.208191126279864	437746.86151156964	2047.3715017588997	51	14705696	0.011335603287601529
S0536	60.06825938566553	107238.8573825342	493.00756380258065	132	13479597	0.12184044180246936
