abundance	stdev	clade	location	lat	lon	depth	date
567	NA	HLI	BATS	31.6667	-64.1667	1	2002-11-13T00:00:00Z
642	NA	HLI	BATS	31.6667	-64.1667	10	2002-11-13T00:00:00Z
727	NA	HLI	BATS	31.6667	-64.1667	20	2002-11-13T00:00:00Z
503	NA	HLI	BATS	31.6667	-64.1667	40	2002-11-13T00:00:00Z
362	NA	HLI	BATS	31.6667	-64.1667	60	2002-11-13T00:00:00Z
10800	NA	HLI	BATS	31.6667	-64.1667	80	2002-11-13T00:00:00Z
2850	NA	HLI	BATS	31.6667	-64.1667	100	2002-11-13T00:00:00Z
18.5	NA	HLI	BATS	31.6667	-64.1667	120	2002-11-13T00:00:00Z
2.77	NA	HLI	BATS	31.6667	-64.1667	140	2002-11-13T00:00:00Z
1.93	NA	HLI	BATS	31.6667	-64.1667	160	2002-11-13T00:00:00Z
1.1	NA	HLI	BATS	31.6667	-64.1667	180	2002-11-13T00:00:00Z
10.4	NA	HLI	BATS	31.6667	-64.1667	200	2002-11-13T00:00:00Z
731	NA	HLI	BATS	31.6667	-64.1667	1	2002-12-11T00:00:00Z
401	NA	HLI	BATS	31.6667	-64.1667	10	2002-12-11T00:00:00Z
546	NA	HLI	BATS	31.6667	-64.1667	20	2002-12-11T00:00:00Z
573	NA	HLI	BATS	31.6667	-64.1667	40	2002-12-11T00:00:00Z
398	NA	HLI	BATS	31.6667	-64.1667	60	2002-12-11T00:00:00Z
294	NA	HLI	BATS	31.6667	-64.1667	80	2002-12-11T00:00:00Z
316	NA	HLI	BATS	31.6667	-64.1667	100	2002-12-11T00:00:00Z
49.5	NA	HLI	BATS	31.6667	-64.1667	120	2002-12-11T00:00:00Z
11.7	NA	HLI	BATS	31.6667	-64.1667	140	2002-12-11T00:00:00Z
0.927	NA	HLI	BATS	31.6667	-64.1667	160	2002-12-11T00:00:00Z
0.916	NA	HLI	BATS	31.6667	-64.1667	180	2002-12-11T00:00:00Z
1.29	NA	HLI	BATS	31.6667	-64.1667	200	2002-12-11T00:00:00Z
443	NA	HLI	BATS	31.6667	-64.1667	1	2003-02-05T00:00:00Z
440	NA	HLI	BATS	31.6667	-64.1667	10	2003-02-05T00:00:00Z
581	NA	HLI	BATS	31.6667	-64.1667	20	2003-02-05T00:00:00Z
904	NA	HLI	BATS	31.6667	-64.1667	40	2003-02-05T00:00:00Z
538	NA	HLI	BATS	31.6667	-64.1667	60	2003-02-05T00:00:00Z
233	NA	HLI	BATS	31.6667	-64.1667	80	2003-02-05T00:00:00Z
292	NA	HLI	BATS	31.6667	-64.1667	100	2003-02-05T00:00:00Z
367	NA	HLI	BATS	31.6667	-64.1667	120	2003-02-05T00:00:00Z
245	NA	HLI	BATS	31.6667	-64.1667	140	2003-02-05T00:00:00Z
75.2	NA	HLI	BATS	31.6667	-64.1667	160	2003-02-05T00:00:00Z
4.67	NA	HLI	BATS	31.6667	-64.1667	180	2003-02-05T00:00:00Z
2.1	NA	HLI	BATS	31.6667	-64.1667	200	2003-02-05T00:00:00Z
875	NA	HLI	BATS	31.6667	-64.1667	1	2003-02-21T00:00:00Z
1030	NA	HLI	BATS	31.6667	-64.1667	10	2003-02-21T00:00:00Z
1170	NA	HLI	BATS	31.6667	-64.1667	20	2003-02-21T00:00:00Z
1750	NA	HLI	BATS	31.6667	-64.1667	40	2003-02-21T00:00:00Z
607	NA	HLI	BATS	31.6667	-64.1667	60	2003-02-21T00:00:00Z
102	NA	HLI	BATS	31.6667	-64.1667	80	2003-02-21T00:00:00Z
352	NA	HLI	BATS	31.6667	-64.1667	100	2003-02-21T00:00:00Z
145	NA	HLI	BATS	31.6667	-64.1667	120	2003-02-21T00:00:00Z
185	NA	HLI	BATS	31.6667	-64.1667	140	2003-02-21T00:00:00Z
132	NA	HLI	BATS	31.6667	-64.1667	160	2003-02-21T00:00:00Z
10.6	NA	HLI	BATS	31.6667	-64.1667	180	2003-02-21T00:00:00Z
2.77	NA	HLI	BATS	31.6667	-64.1667	200	2003-02-21T00:00:00Z
1130	NA	HLI	BATS	31.6667	-64.1667	1	2003-03-04T00:00:00Z
910	NA	HLI	BATS	31.6667	-64.1667	10	2003-03-04T00:00:00Z
1270	NA	HLI	BATS	31.6667	-64.1667	20	2003-03-04T00:00:00Z
1170	NA	HLI	BATS	31.6667	-64.1667	40	2003-03-04T00:00:00Z
832	NA	HLI	BATS	31.6667	-64.1667	60	2003-03-04T00:00:00Z
380	NA	HLI	BATS	31.6667	-64.1667	80	2003-03-04T00:00:00Z
102	NA	HLI	BATS	31.6667	-64.1667	100	2003-03-04T00:00:00Z
91.7	NA	HLI	BATS	31.6667	-64.1667	120	2003-03-04T00:00:00Z
54.1	NA	HLI	BATS	31.6667	-64.1667	140	2003-03-04T00:00:00Z
26.2	NA	HLI	BATS	31.6667	-64.1667	160	2003-03-04T00:00:00Z
4.45	NA	HLI	BATS	31.6667	-64.1667	180	2003-03-04T00:00:00Z
3.22	NA	HLI	BATS	31.6667	-64.1667	200	2003-03-04T00:00:00Z
2720	NA	HLI	BATS	31.6667	-64.1667	1	2003-03-23T00:00:00Z
2360	NA	HLI	BATS	31.6667	-64.1667	10	2003-03-23T00:00:00Z
3330	NA	HLI	BATS	31.6667	-64.1667	20	2003-03-23T00:00:00Z
2350	NA	HLI	BATS	31.6667	-64.1667	40	2003-03-23T00:00:00Z
2600	NA	HLI	BATS	31.6667	-64.1667	60	2003-03-23T00:00:00Z
