location	date	depth	RA	logRA
BATS	2-21-03T00:00:00Z	1	0.05	-1.301029996
BATS	2-21-03T00:00:00Z	40	0.05	-1.301029996
BATS	3-22-03T00:00:00Z	1	0.05	-1.301029996
BATS	3-22-03T00:00:00Z	80	0.05	-1.301029996
BATS	4-22-03T00:00:00Z	10	0.05	-1.301029996
BATS	4-22-03T00:00:00Z	80	0.05	-1.301029996
BATS	5-20-03T00:00:00Z	1	0.05	-1.301029996
BATS	5-20-03T00:00:00Z	100	0.05	-1.301029996
BATS	7-15-03T00:00:00Z	120	0.070580272	-1.151316671
BATS	8-12-03T00:00:00Z	10	0.05	-1.301029996
BATS	8-12-03T00:00:00Z	100	0.05	-1.301029996
BATS	8-12-03T00:00:00Z	160	0.05	-1.301029996
BATS	10-7-03T00:00:00Z	1	0.05	-1.301029996
BATS	10-7-03T00:00:00Z	80	0.05	-1.301029996
BATS	11-4-03T00:00:00Z	1	0.05	-1.301029996
BATS	11-4-03T00:00:00Z	80	0.05	-1.301029996
BATS	12-2-03T00:00:00Z	1	0.05	-1.301029996
BATS	12-2-03T00:00:00Z	100	0.05	-1.301029996
BATS	1-27-04T00:00:00Z	1	0.05	-1.301029996
BATS	1-27-04T00:00:00Z	40	0.05	-1.301029996
BATS	2-24-04T00:00:00Z	1	0.05	-1.301029996
BATS	2-24-04T00:00:00Z	40	0.05	-1.301029996
BATS	3-23-04T00:00:00Z	1	0.05	-1.301029996
BATS	3-23-04T00:00:00Z	60	0.05	-1.301029996
BATS	4-21-04T00:00:00Z	1	0.05	-1.301029996
BATS	4-21-04T00:00:00Z	40	0.05	-1.301029996
BATS	5-18-04T00:00:00Z	10	0.05	-1.301029996
BATS	5-18-04T00:00:00Z	80	0.05	-1.301029996
BATS	6-15-04T00:00:00Z	100	0.05	-1.301029996
BATS	8-17-04T00:00:00Z	120	0.05	-1.301029996
BATS	8-17-04T00:00:00Z	180	0.05	-1.301029996
BATS	9-14-04T00:00:00Z	1	0.05	-1.301029996
BATS	9-14-04T00:00:00Z	100	0.05	-1.301029996
BATS	10-13-04T00:00:00Z	1	0.05	-1.301029996
BATS	10-13-04T00:00:00Z	100	0.05	-1.301029996
BATS	11-12-04T00:00:00Z	1	0.05	-1.301029996
BATS	11-12-04T00:00:00Z	80	0.05	-1.301029996
BATS	11-12-04T00:00:00Z	180	0.05	-1.301029996
BATS	12-8-04T00:00:00Z	1	0.05	-1.301029996
BATS	12-8-04T00:00:00Z	100	0.05	-1.301029996
HOT	1-17-03T00:00:00Z	5	0.05	-1.301029996
