genome	taxgroup	taxclade	genome_type	depth	lat	lon	cruise	station	date	ocean	location	siderophore	n_genomes	n_markers	n_msets	complete	contami	strain_het	genome_size	n_ambig_bp	n_scaffolds	n_contigs	N50_scaff	N50_contig	mean_scaff_len	mean_contig_len	longest_scaff	longest_contig	perc_gc	gc_stdev	code_dens	translation	n_genes	n0_markers	n1_markers	n2_markers	n3_markers	n4_markers	n5_markers
MED4	prochlorococcus	proHL1	isolate	5	43.2	6.866667			1/4/89	mediterranean		0	18	730	228	100	0	0	1657990	0	1	1	1657990	1657990	1657990	1657990	1657990	1657990	30.8	0	90.14	11	1921	0	730	0	0	0	0
MED105	prochlorococcus	proHL1	mag							mediterranean		0	18	730	228	61.84	0.99	100	966148	6197	68	68	15766	15716	14208	14116	59619	59191	31.1	2.04	92	11	1128	276	439	15	0	0	0
AG-388-A04	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	87.76	0.11	0	1489502	0	41	41	78502	78502	36329	36329	169848	169848	30.8	2.63	89.72	11	1705	78	651	1	0	0	0
AG-388-B05	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	88.58	0.06	0	1479994	0	47	47	70520	70520	31489	31489	151729	151729	30.9	1.83	89.36	11	1734	90	639	1	0	0	0
AG-388-D03	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	81.18	0	0	1415793	0	52	52	57661	57661	27226	27226	247020	247020	30.6	2.23	89.3	11	1646	130	600	0	0	0	0
AG-388-E21	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	98	0	0	1661104	0	17	17	186778	186778	97712	97712	538222	538222	30.9	1.05	89.85	11	1916	11	719	0	0	0	0
AG-388-I18	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	94.99	0	0	1609845	0	25	25	128534	128534	64393	64393	179459	179459	30.9	2.57	89.63	11	1820	35	695	0	0	0	0
AG-388-J02	prochlorococcus	proHL1	sag	10	36.2	-53.31	GA02(L1)	16	5/20/10	n_atlantic	GA02	0	18	730	228	98.98	0.22	0	1721047	0	24	24	111086	111086	71710	71710	221827	221827	30.8	3.57	90.01	11	2011	11	718	1	0	0	0
AG-418-M08	prochlorococcus	proHL1	sag	60	24	-22	GA03(L1)	7	10/24/10	n_atlantic	GA03	0	18	730	228	96.2	0.22	0	1664652	0	29	29	136174	136174	57401	57401	317932	317932	30.6	1.98	90.24	11	1867	21	708	1	0	0	0
AG-347-J22	prochlorococcus	proHL1	sag	5	23.75	-158	HOT214	ALOHA	8/19/09	n_pacific	HOT	0	18	730	228	89.2	0.05	0	1411991	0	36	36	80724	80724	39221	39221	177359	177359	30.9	1.89	90.18	11	1614	80	649	1	0	0	0
AG-402-N10	prochlorococcus	proHL1	sag	100	23.75	-158	HOT216	ALOHA	11/4/09	n_pacific	HOT	0	18	730	228	95.74	0	0	1559102	0	35	35	134843	134843	44545	44545	299637	299637	30.8	2.78	90.46	11	1773	33	697	0	0	0	0
AG-670-J16	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	72.43	0	0	1283623	0	56	56	44148	44148	22921	22921	147228	147228	31	2.47	89.03	11	1532	199	531	0	0	0	0
AG-670-L08	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	89.45	0.44	0	1467150	0	53	53	57021	57021	27682	27682	109596	109596	31.1	2.19	90.23	11	1677	85	644	1	0	0	0
AG-670-N10	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	90.78	0	0	1447806	0	62	62	49436	49436	23351	23351	125735	125735	30.8	2.49	90.2	11	1662	47	683	0	0	0	0
AG-670-O07	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	85.53	0	0	1488532	0	60	60	51426	51426	24808	24808	130231	130231	30.8	2.17	88.98	11	1793	92	638	0	0	0	0
AG-670-O09	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	36.94	0.12	100	653196	0	88	88	10412	10412	7422	7422	40124	40124	31.1	2.77	90.31	11	787	439	284	7	0	0	0
AG-670-O11	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	45.34	0.33	100	817477	0	73	73	16951	16951	11198	11198	47468	47468	31.4	2.28	90.38	11	961	327	400	3	0	0	0
AG-670-O13	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	62.67	0.16	0	1060280	0	66	66	26662	26662	16064	16064	54086	54086	30.8	3.44	90.01	11	1211	244	484	2	0	0	0
AG-670-O17	prochlorococcus	proHL1	sag	5	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	77.98	1.51	85.71	1387582	0	75	75	31805	31805	18501	18501	109502	109502	30.9	2.2	89.61	11	1594	136	587	7	0	0	0
AG-673-K21	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	47.99	0	0	727535	0	56	56	22565	22565	12991	12991	47780	47780	31.3	2.4	91.4	11	821	392	338	0	0	0	0
AG-673-L20	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	80.86	0	0	1421661	0	54	54	60760	60760	26327	26327	165874	165874	30.7	2.78	89	11	1683	133	597	0	0	0	0
AG-673-L23	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	62.75	0.15	0	990430	0	43	43	86347	86347	23033	23033	207224	207224	31.4	1.77	89.19	11	1164	226	503	1	0	0	0
AG-673-M19	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	71.7	0.95	100	1080278	0	55	55	44500	44500	19641	19641	66312	66312	30.7	1.98	89.85	11	1283	245	479	6	0	0	0
AG-673-O02	prochlorococcus	proHL1	sag	90	28.14	-158	GRADIENT	4	4/22/16	n_pacific	GRADIENT	0	18	730	228	86.75	0.44	0	1454258	0	47	47	65343	65343	30941	30941	193330	193330	30.9	2.42	89.98	11	1679	92	637	1	0	0	0
